Resident Town ID ,District ID,Resident Town ,Sent to District ,School Year,School Type ,PK,K,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,Total
151,093,Waterbury,New Haven School District,2010-11, Magnet School,0,1,1,1,0,1,0,1,0,1,1,0,0,0,7
151,215,Waterbury,Regional School District 15,2010-11,,0,0,1,0,0,0,1,0,0,2,0,0,0,0,4
151,131,Waterbury,Southington School District,2010-11, Voag,0,0,0,0,0,0,0,0,0,0,2,3,4,3,12
151,269,Waterbury,The Bridge Academy District,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
151,151,Waterbury,Waterbury School District,2010-11,,496,1429,1330,1264,1201,1191,1172,1291,1222,1314,1138,1119,959,987,16113
151,151,Waterbury,Waterbury School District,2010-11, Magnet School,85,118,115,120,119,117,137,75,74,71,96,93,74,81,1375
151,156,Waterbury,West Haven School District,2010-11,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
151,166,Waterbury,Wolcott School District,2010-11,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
152,244,Waterford,Area Cooperative Educational Services,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
152,241,Waterford,Capitol Region Education Council,2010-11,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
152,900,Waterford,Connecticut Technical High School System,2010-11,,0,0,0,0,0,0,0,0,0,0,10,14,6,8,38
152,059,Waterford,Groton School District,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
152,265,Waterford,Interdistrict School for Arts and Comm District,2010-11,,0,0,0,0,0,0,0,1,1,4,0,0,0,0,6
152,245,Waterford,Learn,2010-11, Magnet School,154,74,5,7,9,4,9,4,4,2,0,0,0,0,272
152,072,Waterford,Ledyard School District,2010-11, Voag,0,0,0,0,0,0,0,0,0,0,6,1,2,5,14
152,095,Waterford,New London School District,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
152,095,Waterford,New London School District,2010-11, Magnet School,0,0,0,0,0,0,0,0,0,0,8,4,5,6,23
152,901,Waterford,Norwich Free Academy,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
152,152,Waterford,Waterford School District,2010-11,,0,120,196,198,211,207,219,233,215,238,205,243,241,257,2783
152,152,Waterford,Waterford School District,2010-11, Homebound,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4
152,154,Waterford,Westbrook School District,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
152,163,Waterford,Windham School District,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
153,244,Watertown,Area Cooperative Educational Services,2010-11,,0,0,0,0,0,0,0,0,1,1,0,0,1,2,5
153,241,Watertown,Capitol Region Education Council,2010-11,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
153,900,Watertown,Connecticut Technical High School System,2010-11,,0,0,0,0,0,0,0,0,0,0,21,21,13,14,69
153,034,Watertown,Danbury School District,2010-11, Magnet School,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
153,242,Watertown,Education Connection,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
153,214,Watertown,Regional School District 14,2010-11,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
153,214,Watertown,Regional School District 14,2010-11, Voag,0,0,0,0,0,0,0,0,0,0,10,9,8,11,38
153,151,Watertown,Waterbury School District,2010-11, Magnet School,1,3,1,2,2,1,1,0,1,0,0,0,0,1,13
153,153,Watertown,Watertown School District,2010-11,,81,179,231,206,217,235,265,255,250,255,248,285,231,235,3173
153,153,Watertown,Watertown School District,2010-11, Homebound,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
153,153,Watertown,Watertown School District,2010-11, Other,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
153,162,Watertown,Winchester School District,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
155,244,West Hartford,Area Cooperative Educational Services,2010-11,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
155,011,West Hartford,Bloomfield School District,2010-11, Magnet School,37,15,0,0,0,0,0,0,0,0,0,0,0,0,52
155,241,West Hartford,Capitol Region Education Council,2010-11,,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5
155,241,West Hartford,Capitol Region Education Council,2010-11, Magnet School,29,11,13,10,10,12,2,3,4,5,6,4,7,1,117
155,287,West Hartford,Charter School for Young Children on Asylum Hill,2010-11,,19,4,2,2,0,0,0,0,0,0,0,0,0,0,27
155,900,West Hartford,Connecticut Technical High School System,2010-11,,0,0,0,0,0,0,0,0,0,0,3,1,1,2,7
155,043,West Hartford,East Hartford School District,2010-11, Magnet School,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
155,064,West Hartford,Hartford School District,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
155,064,West Hartford,Hartford School District,2010-11, Magnet School,19,12,8,3,3,2,4,14,15,16,7,8,3,7,121
155,261,West Hartford,Jumoke Academy District,2010-11,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
155,245,West Hartford,Learn,2010-11, Magnet School,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
155,083,West Hartford,Middletown School District,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
155,155,West Hartford,West Hartford School District,2010-11,,178,687,799,762,764,815,776,715,780,702,755,830,735,809,10107
155,155,West Hartford,West Hartford School District,2010-11, Other,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
156,279,West Haven,Amistad Academy District,2010-11,,0,0,0,0,0,0,3,0,1,0,0,0,0,0,4
156,002,West Haven,Ansonia School District,2010-11,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
156,244,West Haven,Area Cooperative Educational Services,2010-11,,1,0,0,0,1,2,0,5,3,3,3,2,1,10,31
156,244,West Haven,Area Cooperative Educational Services,2010-11, Magnet School,0,1,0,0,0,1,1,2,1,1,0,0,0,0,7
156,268,West Haven,Common Ground High School District,2010-11,,0,0,0,0,0,0,0,0,0,0,4,0,2,4,10
156,900,West Haven,Connecticut Technical High School System,2010-11,,0,0,0,0,0,0,0,0,0,0,46,71,72,67,256
156,289,West Haven,Elm City College Preparatory School,2010-11,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
156,062,West Haven,Hamden School District,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
156,286,West Haven,Highville Charter School District,2010-11,,1,0,4,1,2,3,1,2,1,1,0,0,0,0,16
156,084,West Haven,Milford School District,2010-11,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
156,280,West Haven,"New Beginnings Inc., Family Academy District",2010-11,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
156,093,West Haven,New Haven School District,2010-11,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
156,093,West Haven,New Haven School District,2010-11, Magnet School,55,48,64,70,50,59,70,93,91,73,64,83,73,50,943
156,093,West Haven,New Haven School District,2010-11, Open Choice ,0,2,0,2,2,1,2,4,3,3,1,0,4,2,26
156,093,West Haven,New Haven School District,2010-11, Voag,0,0,0,0,0,0,0,0,0,0,7,7,11,10,35
156,103,West Haven,Norwalk School District,2010-11,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
156,270,West Haven,Side By Side Community School District,2010-11,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
156,135,West Haven,Stamford School District,2010-11, Magnet School,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
156,148,West Haven,Wallingford School District,2010-11, Voag,0,0,0,0,0,0,0,0,0,0,4,4,7,4,19
156,156,West Haven,West Haven School District,2010-11,,96,557,560,492,497,501,505,446,516,474,506,368,306,343,6167
