,,,,,,,,,,,,,,,,,,,,,,
resident.town.id,resident.town,,private.school.location,year,,private.school.total,PK,K,G1,G2,G3,,G4,G5,G6,G7,G8,G9,G10,G11,G12,
7,Berlin,,Hamden,2010-11,,2,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,
7,Berlin,,Kensington,2010-11,,126,22,21,6,12,10,,11,11,10,14,9,0,0,0,0,
7,Berlin,,Meriden,2010-11,,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,
7,Berlin,,Middletown,2010-11,,38,0,0,0,0,0,,0,0,0,0,0,16,8,10,4,
7,Berlin,,New Britain,2010-11,,20,4,2,3,1,1,,2,2,3,0,2,0,0,0,0,
7,Berlin,,New Haven,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,
7,Berlin,,Newington,2010-11,,19,1,1,2,1,0,,3,0,2,1,2,3,1,0,2,
7,Berlin,,Plainville,2010-11,,3,0,0,0,0,0,,1,0,0,0,2,0,0,0,0,
7,Berlin,,Suffield,2010-11,,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,
7,Berlin,,Wallingford,2010-11,,2,0,0,0,0,0,,0,1,0,0,0,0,0,0,1,
7,Berlin,,Waterbury,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,
7,Berlin,,West Hartford,2010-11,,29,1,0,2,1,2,,0,0,1,0,1,8,3,6,4,
7,Berlin,,Wethersfield,2010-11,,10,1,2,0,3,0,,0,2,1,0,1,0,0,0,0,
7,Berlin,,Windsor,2010-11,,3,0,0,0,0,0,,0,0,0,0,0,0,0,2,1,
8,Bethany,,Ansonia,2010-11,,3,0,0,0,0,1,,0,0,2,0,0,0,0,0,0,
8,Bethany,,Cheshire,2010-11,,3,0,0,0,0,0,,0,0,0,0,0,0,0,1,2,
8,Bethany,,Fairfield,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,
8,Bethany,,Hamden,2010-11,,25,2,1,3,0,1,,0,0,2,2,3,2,1,5,3,
8,Bethany,,New Haven,2010-11,,20,0,0,3,1,2,,0,2,1,4,3,3,0,1,0,
8,Bethany,,Newtown,2010-11,,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,
8,Bethany,,Orange,2010-11,,2,0,0,0,1,0,,0,0,1,0,0,0,0,0,0,
8,Bethany,,Plainville,2010-11,,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,
8,Bethany,,Wallingford,2010-11,,4,0,0,0,0,0,,0,0,0,0,0,1,0,1,2,
8,Bethany,,Washington,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,
